ASV,Species,Genus,AOB,NOB,PAO,GAO,Filamentous
ASV5529,s__midas_s_2153,g__midas_g_1194,na,na,na,na,na
ASV1892,s__midas_s_3424,g__Microbacterium,na,na,na,na,na
ASV1232,,g__midas_g_11423,na,na,na,na,na
ASV2344,s__Rhizobacter_profundi,g__Rhizobacter,na,na,na,na,na
ASV7072,s__midas_s_15374,g__Lactobacillus,na,na,na,na,na
ASV1897,s__midas_s_3424,g__Microbacterium,na,na,na,na,na
ASV633,s__midas_s_3963,g__Anaerolinea,na,na,na,na,pos
ASV4786,s__midas_s_75555,g__Romboutsia,na,na,na,na,neg
ASV1607,s__midas_s_1058,g__Acidibacter,na,na,na,na,na
ASV4427,,g__midas_g_343,na,na,na,na,na
ASV12253,,g__Rhodobacter,na,na,na,na,neg
ASV49,,g__midas_g_19,na,na,na,na,na
ASV9080,,g__Cloacibacterium,na,na,na,na,var
ASV4017,s__Romboutsia_sedimentorum,g__Romboutsia,na,na,na,na,neg
ASV1644,,g__Terrimonas,na,na,na,na,neg
ASV4484,,g__Chryseobacterium,na,na,na,na,var
ASV4008,s__Paracoccus_yeei,g__Paracoccus,na,na,neg,na,neg
newASV14,,g__Acidovorax,na,na,na,na,neg
ASV1254,s__midas_s_11441,g__midas_g_11441,na,na,na,na,na
ASV4211,s__midas_s_82762,g__Proteocatella,na,na,na,na,na
ASV4264,s__midas_s_2606,g__Simplicispira,na,na,na,na,neg
ASV4039,s__Paracoccus_yeei,g__Paracoccus,na,na,neg,na,neg
ASV105542,s__Zoogloea_ramigera,g__Zoogloea,na,na,na,na,neg
ASV4400,,g__TM7a,na,na,na,na,na
ASV6787,s__midas_s_24656,g__Phaselicystis,na,na,na,na,na
ASV3832,s__midas_s_13749,g__Undibacterium,na,na,na,na,na
ASV341,s__midas_s_561,g__midas_g_343,na,na,na,na,na
ASV5277,s__midas_s_1015,g__CL500-29_marine_group,na,na,na,na,na
ASV1855,,g__Hydrogenophaga,na,na,na,na,na
ASV2148,s__midas_s_6496,g__midas_g_5391,na,na,na,na,na
ASV2682,,,na,na,na,na,na
ASV1992,s__Galbitalea_soli,g__Galbitalea,na,na,na,na,na
ASV2938,s__midas_s_4166,g__Ahniella,na,na,na,na,na
ASV3241,s__midas_s_6328,g__midas_g_6328,na,na,na,na,na
ASV1339,s__midas_s_3253,g__midas_g_433,na,na,na,na,na
ASV1970,s__midas_s_2431,g__Limnohabitans,na,na,na,na,neg
ASV3306,s__Uruburuella_suis,g__Uruburuella,na,na,na,na,na
ASV4312,s__midas_s_4072,g__midas_g_1341,na,na,na,na,na
ASV2241,s__midas_s_3424,g__Microbacterium,na,na,na,na,na
ASV125,s__midas_s_156,g__midas_g_156,na,na,na,na,na
ASV3700,,g__Ca_Accumulibacter,neg,neg,pos,var,neg
ASV5993,s__midas_s_4663,g__midas_g_4663,na,na,na,na,na
ASV2084,s__midas_s_3324,g__Microbacterium,na,na,na,na,na
ASV8136,,g__Nitrosomonas,pos,neg,na,na,neg
ASV75,s__midas_s_825,g__Leptolinea,na,na,na,na,pos
ASV1650,s__midas_s_4925,g__midas_g_4925,na,na,na,na,na
ASV6567,s__midas_s_2842,g__midas_g_2842,na,na,na,na,na
ASV2362,s__midas_s_7462,g__midas_g_7462,na,na,na,na,na
ASV2250,s__Lysobacter_oligotrophicus,g__Lysobacter,na,na,na,na,na
ASV7405,s__Lactococcus_lactis,g__Lactococcus,na,na,na,na,var
ASV2531,s__midas_s_4525,g__Polaromonas,na,na,na,na,na
ASV4183,s__midas_s_7685,g__Flavobacterium,na,na,na,na,var
ASV1703,s__midas_s_3589,g__Propionicicella,na,na,na,na,na
ASV1845,s__midas_s_597,g__midas_g_225,na,na,na,na,na
ASV1821,s__midas_s_4105,g__midas_g_991,na,na,na,na,na
ASV1883,s__midas_s_31336,g__midas_g_19422,na,na,na,na,na
ASV1564,s__midas_s_2052,g__Propioniciclava,na,na,na,na,neg
ASV2489,s__Nitrosomonas_oligotropha,g__Nitrosomonas,pos,neg,na,na,neg
ASV5021,s__midas_s_1886,g__midas_g_1083,na,na,na,na,na
ASV576,s__midas_s_1393,g__Ca_Obscuribacter,na,na,pos,na,na
ASV1919,,g__midas_g_67,na,na,na,na,na
ASV655,s__midas_s_1912,g__Gordonia,na,na,na,na,pos
ASV7365,s__Ottowia_beijingensis,g__Ottowia,na,na,na,na,na
ASV2985,s__midas_s_8972,g__Paludibacter,na,na,na,na,na
ASV1755,s__midas_s_2297,g__Thermomonas,na,na,na,na,neg
ASV898,s__midas_s_813,g__midas_g_813,na,na,na,na,na
ASV596,s__midas_s_395,g__midas_g_395,na,na,na,na,na
ASV2091,,g__Microbacterium,na,na,na,na,na
ASV4629,s__midas_s_5623,g__Comamonas,na,na,na,na,na
ASV707,s__midas_s_16340,g__midas_g_94,na,na,na,na,na
ASV3437,s__midas_s_5788,g__midas_g_1919,na,na,na,na,na
ASV2610,s__midas_s_2621,g__midas_g_2621,na,na,na,na,na
ASV5102,s__midas_s_34049,g__midas_g_7404,na,na,na,na,na
ASV346,s__midas_s_124,g__Dokdonella,na,na,na,na,neg
ASV3358,s__midas_s_5206,g__Macellibacteroides,na,na,na,na,na
ASV9062,,g__Rhodoferax,na,na,neg,na,neg
ASV2837,s__midas_s_13564,g__midas_g_12070,na,na,na,na,na
ASV3110,,g__Paracoccus,na,na,neg,na,neg
ASV1305,s__midas_s_1709,g__Planctopirus,na,na,na,na,na
ASV3101,s__midas_s_4177,g__Clostridium_sensu_stricto_12,na,na,na,na,na
ASV2898,,,na,na,na,na,na
ASV1053,,g__Afipia,na,na,na,na,na
ASV10365,s__midas_s_27827,g__Lactobacillus,na,na,na,na,na
ASV4222,s__midas_s_24300,g__midas_g_11143,na,na,na,na,na
ASV2996,s__midas_s_1919,g__midas_g_1919,na,na,na,na,na
ASV1545,s__midas_s_140,g__Proteiniclasticum,na,na,na,na,neg
ASV3712,,g__Comamonas,na,na,na,na,na
ASV2136,s__midas_s_5897,g__Denitratisoma,na,na,na,na,na
ASV3220,,g__midas_g_17497,na,na,na,na,na
ASV2384,s__midas_s_4515,g__Rhodococcus,na,na,na,na,na
ASV170,s__midas_s_93,g__midas_g_93,na,na,na,na,na
ASV20504,s__midas_s_84370,g__Dechloromonas,na,na,var,neg,neg
ASV111193,s__midas_s_1075,g__Lautropia,na,na,na,na,neg
ASV2419,s__midas_s_192,g__midas_g_75,na,na,na,na,na
ASV453,s__midas_s_1112,g__Subgroup_10,na,na,na,na,na
ASV8599,s__midas_s_14348,g__Runella,na,na,na,na,na
ASV4800,,g__Lysobacter,na,na,na,na,na
ASV2628,s__midas_s_10989,g__Dechloromonas,na,na,var,neg,neg
ASV6711,,g__Gemmobacter,na,na,na,na,na
ASV3982,s__midas_s_80067,g__Exiguobacterium,na,na,na,na,na
ASV1993,s__midas_s_4871,g__midas_g_4871,na,na,na,na,na
ASV1231,s__midas_s_21553,g__midas_g_5463,na,na,na,na,na
ASV4474,s__midas_s_10902,g__midas_g_10902,na,na,na,na,na
ASV6727,s__midas_s_4663,g__midas_g_4663,na,na,na,na,na
ASV2778,s__midas_s_13072,g__Comamonas,na,na,na,na,na
ASV4627,s__midas_s_75555,g__Romboutsia,na,na,na,na,neg
ASV29356,s__midas_s_47798,g__midas_g_47798,na,na,na,na,na
ASV3516,s__midas_s_5532,g__Chryseobacterium,na,na,na,na,var
ASV6524,s__midas_s_44369,g__midas_g_1226,na,na,na,na,na
ASV7049,,g__Phenylobacterium,na,na,na,na,na
ASV4232,s__midas_s_1765,g__midas_g_1765,na,na,na,na,na
ASV3293,s__midas_s_20570,g__midas_g_2400,na,na,na,na,na
ASV484,s__midas_s_1828,g__Conexibacter,na,na,na,na,na
ASV3874,,g__Macellibacteroides,na,na,na,na,na
ASV3470,s__midas_s_6413,g__Propioniciclava,na,na,na,na,neg
ASV6618,s__midas_s_1355,g__Pseudorhodobacter,na,na,na,na,neg
ASV2006,s__midas_s_29509,g__midas_g_29509,na,na,na,na,na
ASV4751,s__midas_s_80067,g__Exiguobacterium,na,na,na,na,na
ASV9053,s__Bacteroides_vulgatus,g__Bacteroides,na,na,na,na,na
ASV4685,,,na,na,na,na,na
ASV2188,s__midas_s_1782,g__CL500-29_marine_group,na,na,na,na,na
ASV2549,,g__Mesorhizobium,na,na,na,na,na
ASV7911,s__Brachymonas_chironomi,g__Brachymonas,na,na,na,na,na
ASV477,s__midas_s_139,g__Nitrosomonas,pos,neg,na,na,neg
ASV4013,s__midas_s_1635,g__Shuttleworthia,na,na,na,na,na
ASV5564,s__midas_s_7576,g__WCHB1-32,na,na,na,na,na
ASV7854,,g__Comamonas,na,na,na,na,na
ASV3823,s__midas_s_14162,g__Lactococcus,na,na,na,na,var
ASV531,,g__Dokdonella,na,na,na,na,neg
ASV1769,s__midas_s_4945,g__midas_g_4945,na,na,na,na,na
ASV6439,,,na,na,na,na,na
newASV107,s__midas_s_1356,g__Thauera,na,na,neg,na,neg
ASV1139,,g__Pedomicrobium,na,na,na,na,neg
ASV3392,s__midas_s_5587,g__Comamonas,na,na,na,na,na
ASV5696,s__midas_s_4793,g__Comamonas,na,na,na,na,na
newASV9,,,na,na,na,na,na
ASV1895,s__midas_s_3418,g__Propioniciclava,na,na,na,na,neg
ASV3088,,g__midas_g_1061,na,na,na,na,na
ASV5436,s__midas_s_6496,g__midas_g_5391,na,na,na,na,na
newASV11,s__midas_s_471,g__Ca_Villigracilis,na,na,na,na,pos
ASV7924,,g__midas_g_67,na,na,na,na,na
newASV692,,,na,na,na,na,na
ASV2368,s__midas_s_1119,g__Nannocystis,na,na,na,na,neg
ASV2861,,g__Polaromonas,na,na,na,na,na
ASV1220,s__midas_s_5,g__Tetrasphaera,neg,neg,pos,neg,var
ASV2876,s__midas_s_188,g__Ca_Epiflobacter,na,na,neg,neg,neg
ASV4852,,g__Sphingopyxis,na,na,na,na,neg
newASV2,,g__midas_g_17,na,na,na,na,na
ASV15688,s__midas_s_34075,g__midas_g_25963,na,na,na,na,na
ASV2565,s__midas_s_17404,g__midas_g_1319,na,na,na,na,na
ASV4101,s__midas_s_14052,g__Stenotrophomonas,na,na,na,na,na
ASV4380,s__midas_s_6880,g__midas_g_343,na,na,na,na,na
ASV3981,s__midas_s_14098,g__midas_g_8983,na,na,na,na,na
ASV2916,s__Proteocatella_sphenisci,g__Proteocatella,na,na,na,na,na
ASV2755,,g__Rhodopseudomonas,na,na,na,na,na
ASV4511,s__midas_s_6364,g__midas_g_4375,na,na,na,na,na
ASV9366,s__midas_s_50199,g__midas_g_25039,na,na,na,na,na
ASV9030,,g__Acidovorax,na,na,na,na,neg
ASV350,,g__Sphingopyxis,na,na,na,na,neg
ASV4369,s__Falcatimonas_natans,g__XBB1006,na,na,na,na,na
ASV4610,s__midas_s_18483,g__midas_g_2243,na,na,na,na,na
ASV3026,s__midas_s_2366,g__midas_g_2366,na,na,na,na,na
ASV373,s__midas_s_467,g__midas_g_467,na,na,na,na,na
ASV783,s__midas_s_884,g__Leptothrix,na,na,na,na,var
ASV2992,s__midas_s_12047,g__midas_g_3969,na,na,na,na,na
newASV1719,,,na,na,na,na,na
ASV519,s__midas_s_383,g__W5,na,na,na,na,na
ASV399,s__midas_s_841,g__Aeromicrobium,na,na,na,na,na
ASV8079,,g__Thermomonas,na,na,na,na,neg
newASV114,s__Dorea_longicatena,g__Dorea,na,na,na,na,var
ASV8553,,g__Comamonas,na,na,na,na,na
ASV11244,,g__Diaphorobacter,na,na,na,na,na
ASV2244,s__midas_s_443,g__Geothrix,na,na,na,na,neg
ASV7118,s__midas_s_4915,g__midas_g_4915,na,na,na,na,na
ASV117,s__midas_s_115,g__Propioniciclava,na,na,na,na,neg
ASV2958,,g__midas_g_5463,na,na,na,na,na
ASV114049,s__midas_s_1912,g__Gordonia,na,na,na,na,pos
ASV8820,s__Bacteroides_uniformis,g__Bacteroides,na,na,na,na,na
ASV961,s__midas_s_723,g__Nitrosomonas,pos,neg,na,na,neg
ASV1051,s__midas_s_2674,g__Longivirga,na,na,na,na,na
ASV285,s__midas_s_988,g__Thermovirga,na,na,na,na,neg
ASV949,s__midas_s_813,g__midas_g_813,na,na,na,na,na
ASV9365,,g__Acinetobacter,na,na,neg,neg,var
ASV23,s__Ca_Brevefilum_fermentans,g__Ca_Brevefilum,na,na,na,na,pos
ASV3021,s__midas_s_20638,g__Leucobacter,na,na,na,na,neg
ASV1551,s__midas_s_580,g__Neomegalonema,neg,neg,neg,neg,pos
ASV3094,s__midas_s_22980,g__midas_g_22980,na,na,na,na,na
ASV10144,s__midas_s_27005,g__midas_g_27005,na,na,na,na,na
ASV6506,s__midas_s_4871,g__midas_g_4871,na,na,na,na,na
ASV5071,s__midas_s_15640,g__midas_g_15640,na,na,na,na,na
ASV2567,s__midas_s_12047,g__midas_g_3969,na,na,na,na,na
ASV10539,s__midas_s_16272,g__Chryseobacterium,na,na,na,na,var
ASV5928,s__midas_s_58457,g__midas_g_58457,na,na,na,na,na
ASV7359,s__Romboutsia_sedimentorum,g__Romboutsia,na,na,na,na,neg
ASV9571,s__midas_s_25804,g__midas_g_25804,na,na,na,na,na
ASV2168,s__midas_s_76959,g__midas_g_76959,na,na,na,na,na
ASV10873,,g__Acidovorax,na,na,na,na,neg
ASV530,s__midas_s_1154,g__Propioniciclava,na,na,na,na,neg
ASV10497,s__midas_s_60174,g__midas_g_5391,na,na,na,na,na
ASV9608,s__Dechloromonas_hortensis,g__Dechloromonas,na,na,var,neg,neg
ASV10508,s__Propionibacterium_freudenreichii,g__Propionibacterium,na,na,na,na,na
ASV6933,s__midas_s_3421,g__midas_g_3337,na,na,na,na,na
ASV5239,s__midas_s_6640,g__Cutibacterium,na,na,na,na,na
ASV4635,s__midas_s_12325,g__Ahniella,na,na,na,na,na
ASV5287,s__midas_s_13371,g__Chryseobacterium,na,na,na,na,var
ASV1569,s__midas_s_1605,g__midas_g_1605,na,na,na,na,na
ASV6929,s__midas_s_32656,g__midas_g_4663,na,na,na,na,na
ASV8721,,,na,na,na,na,na
ASV24156,,g__Pelomonas,na,na,na,na,na
ASV968,s__midas_s_723,g__Nitrosomonas,pos,neg,na,na,neg
ASV8585,s__midas_s_6935,g__Cloacibacterium,na,na,na,na,var
ASV12842,,g__Carnobacterium,na,na,na,na,na
ASV6774,s__midas_s_2645,g__Hydrogenophaga,na,na,na,na,na
ASV229,s__midas_s_156,g__midas_g_156,na,na,na,na,na
ASV10234,s__Propionibacterium_cyclohexanicum,g__Propionibacterium,na,na,na,na,na
ASV348,s__midas_s_876,g__midas_g_156,na,na,na,na,na
ASV6552,s__midas_s_1934,g__Pseudomonas,na,na,na,na,na
ASV1362,s__midas_s_5037,g__Propioniciclava,na,na,na,na,neg
ASV1174,s__midas_s_1138,g__midas_g_1138,na,na,na,na,na
ASV8730,s__Romboutsia_sedimentorum,g__Romboutsia,na,na,na,na,neg
ASV2512,s__midas_s_843,g__midas_g_843,na,na,na,na,na
ASV105568,s__midas_s_1475,g__Aquimonas,na,na,na,na,na
ASV6046,s__midas_s_15459,g__midas_g_9117,na,na,na,na,na
ASV10056,s__Eubacterium_ventriosum,g__Eubacterium_ventriosum_group,na,na,na,na,na
ASV1512,s__midas_s_3130,g__YC-ZSS-LKJ63,na,na,na,na,na
ASV7622,s__midas_s_27507,g__Arenimonas,na,na,na,na,na
ASV2161,s__midas_s_172,g__Haliangium,na,na,na,na,neg
ASV11618,s__midas_s_42379,g__midas_g_10902,na,na,na,na,na
ASV1067,s__midas_s_2111,g__midas_g_2111,na,na,na,na,na
ASV8740,,g__midas_g_729,na,na,na,na,na
ASV203,s__midas_s_1054,g__SC103,na,na,na,na,na
ASV450,s__midas_s_269,g__midas_g_269,na,na,na,na,na
ASV2956,s__midas_s_83,g__Ferruginibacter,na,na,na,na,neg
ASV7648,s__midas_s_31003,g__Ferruginibacter,na,na,na,na,neg
ASV1836,s__midas_s_9839,g__midas_g_8390,na,na,na,na,na
ASV13616,s__midas_s_26422,g__midas_g_26422,na,na,na,na,na
ASV2795,s__midas_s_2250,g__midas_g_120,na,na,na,na,na
ASV257,s__midas_s_60,g__midas_g_17,na,na,na,na,na
ASV4366,s__midas_s_11223,g__Flavobacterium,na,na,na,na,var
ASV1102,,g__Novosphingobium,na,na,na,na,neg
ASV7074,s__midas_s_47996,g__midas_g_35378,na,na,na,na,na
ASV1054,s__midas_s_3478,g__Pedomicrobium,na,na,na,na,neg
ASV1471,s__midas_s_26863,g__Lacibacter,na,na,na,na,na
ASV4956,s__midas_s_1724,g__Ca_Competibacter,neg,neg,neg,pos,neg
ASV1062,s__midas_s_2275,g__IMCC26207,na,na,na,na,na
newASV128,,g__Paracoccus,na,na,neg,na,neg
ASV7251,s__midas_s_25086,g__Diaphorobacter,na,na,na,na,na
ASV5297,s__midas_s_4177,g__Clostridium_sensu_stricto_12,na,na,na,na,na
ASV6669,s__midas_s_19103,g__Acidovorax,na,na,na,na,neg
ASV6621,,g__Iamia,na,na,na,na,neg
ASV4234,,g__midas_g_15216,na,na,na,na,na
ASV11512,,g__midas_g_4871,na,na,na,na,na
ASV2240,s__midas_s_5075,g__Syntrophomonas,na,na,na,na,na
ASV5430,s__midas_s_4974,g__midas_g_351,na,na,na,na,na
ASV865,s__midas_s_410,g__midas_g_410,na,na,na,na,na
ASV1843,s__midas_s_1298,g__Leptothrix,na,na,na,na,var
ASV9275,s__Leucobacter_denitrificans,g__Leucobacter,na,na,na,na,neg
ASV8085,s__Romboutsia_sedimentorum,g__Romboutsia,na,na,na,na,neg
ASV8764,s__Sebaldella_termitidis,g__Sebaldella,na,na,na,na,na
ASV557,s__midas_s_359,g__midas_g_31,na,na,na,na,na
ASV855,s__midas_s_1947,g__midas_g_1947,na,na,na,na,na
ASV3292,s__midas_s_10364,g__Pseudorhodobacter,na,na,na,na,neg
ASV16449,,g__midas_g_4482,na,na,na,na,na
ASV750,s__midas_s_687,g__Thermovirga,na,na,na,na,neg
ASV9803,s__midas_s_206,g__midas_g_206,na,na,na,na,na
newASV20,,g__midas_g_17,na,na,na,na,na
ASV3986,s__midas_s_1809,g__Anaerovorax,na,na,na,na,na
ASV424,s__midas_s_552,g__Smithella,na,na,na,na,neg
ASV19820,s__Bacteroides_caccae,g__Bacteroides,na,na,na,na,na
ASV6068,s__midas_s_11634,g__Flavobacterium,na,na,na,na,var
ASV5491,s__midas_s_35465,g__Amaricoccus,na,na,neg,neg,neg
ASV6655,,g__Ca_Accumulibacter,neg,neg,pos,var,neg
ASV1263,,g__JGI_0001001-H03,na,na,na,na,na
ASV9268,s__midas_s_32638,g__Dechloromonas,na,na,var,neg,neg
ASV7363,,,na,na,na,na,na
ASV3151,s__midas_s_10787,g__midas_g_10787,na,na,na,na,na
ASV1168,s__midas_s_124,g__Dokdonella,na,na,na,na,neg
ASV7978,s__midas_s_15342,g__Sebaldella,na,na,na,na,na
newASV44,s__midas_s_12444,g__midas_g_12444,na,na,na,na,na
ASV10270,s__midas_s_42732,g__Defluviicoccus,neg,neg,neg,pos,var
ASV793,s__midas_s_215,g__AAP99,na,na,na,na,na
ASV2355,s__midas_s_26835,g__Propionicimonas,na,na,na,na,neg
ASV2284,,,na,na,na,na,na
ASV3172,s__midas_s_8840,g__midas_g_1424,na,na,na,na,na
ASV5154,s__midas_s_14052,g__Stenotrophomonas,na,na,na,na,na
ASV2599,s__midas_s_64148,g__UCG-004,na,na,na,na,na
ASV1066,s__midas_s_452,g__Ca_Epiflobacter,na,na,neg,neg,neg
ASV1733,s__midas_s_544,g__Tetrasphaera,neg,neg,pos,neg,var
ASV5291,s__Falcatimonas_natans,g__XBB1006,na,na,na,na,na
ASV10469,s__midas_s_47473,g__midas_g_201,na,na,na,na,na
ASV803,s__midas_s_77,g__Ca_Caldatribacterium,na,na,na,na,na
ASV529,s__midas_s_156,g__midas_g_156,na,na,na,na,na
ASV1185,s__midas_s_1332,g__midas_g_67,na,na,na,na,na
ASV12041,s__midas_s_6410,g__Acidipropionibacterium,na,na,na,na,na
ASV181,s__midas_s_82,g__DMER64,na,na,na,na,na
ASV5996,s__midas_s_44325,g__midas_g_3547,na,na,na,na,na
ASV1940,s__midas_s_136,g__Smithella,na,na,na,na,neg
ASV3297,s__midas_s_6880,g__midas_g_343,na,na,na,na,na
ASV4810,,g__Rhodoferax,na,na,neg,na,neg
ASV276,s__midas_s_876,g__midas_g_156,na,na,na,na,na
ASV1573,s__midas_s_3870,g__Mesorhizobium,na,na,na,na,na
ASV11338,s__midas_s_21814,g__midas_g_13518,na,na,na,na,na
ASV344,s__midas_s_1266,g__midas_g_134,na,na,na,na,na
ASV9987,s__midas_s_17888,g__Brevundimonas,na,na,na,na,na
ASV5881,s__Lactococcus_lactis,g__Lactococcus,na,na,na,na,var
ASV1338,s__midas_s_179,g__midas_g_179,na,na,na,na,na
ASV698,s__midas_s_230,g__midas_g_230,na,na,na,na,na
ASV13691,s__midas_s_13074,g__midas_g_13074,na,na,na,na,na
ASV6863,,g__Polaromonas,na,na,na,na,na
ASV6773,s__Polaromonas_naphthalenivorans,g__Polaromonas,na,na,na,na,na
ASV2047,s__midas_s_1410,g__midas_g_100,na,na,na,na,na
ASV2987,s__midas_s_13219,g__midas_g_13219,na,na,na,na,na
ASV8643,s__midas_s_14691,g__midas_g_14691,na,na,na,na,na
ASV3668,s__midas_s_24348,g__midas_g_24348,na,na,na,na,na
ASV8660,s__midas_s_5593,g__midas_g_5593,na,na,na,na,na
ASV1648,s__midas_s_1956,g__Devosia,na,na,na,na,na
ASV19601,s__Acidovorax_temperans,g__Acidovorax,na,na,na,na,neg
ASV1560,s__midas_s_15455,g__midas_g_11340,na,na,na,na,na
ASV2433,s__midas_s_5947,g__Rhodobacter,na,na,na,na,neg
ASV1870,s__midas_s_1187,g__midas_g_1187,na,na,na,na,na
ASV1589,s__midas_s_1015,g__CL500-29_marine_group,na,na,na,na,na
ASV4386,s__midas_s_886,g__midas_g_283,na,na,na,na,na
newASV93,s__midas_s_2255,g__Arcobacter,na,na,na,na,neg
ASV760,s__midas_s_1211,g__Hyphomicrobium,na,na,na,na,neg
ASV5310,,,na,na,na,na,na
ASV14479,s__Parabacteroides_distasonis,g__Parabacteroides,na,na,na,na,na
ASV5176,,g__Anaerovorax,na,na,na,na,na
ASV227,s__midas_s_110,g__Lentimicrobium,na,na,na,na,na
ASV22289,s__midas_s_72719,g__Arenimonas,na,na,na,na,na
ASV13666,s__midas_s_5,g__Tetrasphaera,neg,neg,pos,neg,var
ASV11669,s__midas_s_10944,g__midas_g_10944,na,na,na,na,na
ASV3902,s__midas_s_5012,g__Pseudorhodobacter,na,na,na,na,neg
ASV4674,s__midas_s_22487,g__midas_g_22487,na,na,na,na,na
ASV556,s__midas_s_497,g__midas_g_497,na,na,na,na,na
ASV1683,s__midas_s_5245,g__midas_g_5245,na,na,na,na,na
ASV8157,,,na,na,na,na,na
ASV1245,,g__Afipia,na,na,na,na,na
ASV5730,s__midas_s_1056,g__midas_g_49,na,na,na,na,na
ASV3039,s__Lactococcus_piscium,g__Lactococcus,na,na,na,na,var
ASV8688,s__midas_s_25086,g__Diaphorobacter,na,na,na,na,na
ASV7005,s__midas_s_21946,g__midas_g_12817,na,na,na,na,na
ASV5256,,g__Massilia,na,na,na,na,na
ASV7830,s__Romboutsia_sedimentorum,g__Romboutsia,na,na,na,na,neg
ASV265,s__midas_s_41,g__Syntrophorhabdus,na,na,na,na,na
ASV5970,s__Proteocatella_sphenisci,g__Proteocatella,na,na,na,na,na
ASV599,s__midas_s_256,g__Thauera,na,na,neg,na,neg
ASV9432,s__midas_s_26657,g__Enterococcus,na,na,na,na,var
ASV549,s__midas_s_988,g__Thermovirga,na,na,na,na,neg
ASV18965,,g__Carnobacterium,na,na,na,na,na
ASV19769,s__midas_s_21507,g__Rhodobacter,na,na,na,na,neg
ASV12868,s__Chryseobacterium_hominis,g__Chryseobacterium,na,na,na,na,var
ASV2927,,g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,na,na,na,na,na
ASV4639,s__midas_s_14806,g__Paeniglutamicibacter,na,na,na,na,na
ASV9613,s__midas_s_1851,g__midas_g_1851,na,na,na,na,na
ASV1181,s__midas_s_1430,g__OLB12,na,na,na,na,na
ASV604,s__midas_s_988,g__Thermovirga,na,na,na,na,neg
ASV5978,s__midas_s_14052,g__Stenotrophomonas,na,na,na,na,na
ASV2383,s__midas_s_1263,g__midas_g_1083,na,na,na,na,na
newASV62,s__midas_s_16848,g__TM7x,na,na,na,na,na
ASV8230,s__midas_s_9746,g__Chryseobacterium,na,na,na,na,var
ASV1123,s__midas_s_8985,g__Hyphomicrobium,na,na,na,na,neg
ASV5916,,,na,na,na,na,na
ASV9460,s__midas_s_29206,g__Ferritrophicum,na,na,na,na,na
ASV15219,s__midas_s_26503,g__Ottowia,na,na,na,na,na
ASV16166,s__midas_s_59091,g__midas_g_30202,na,na,na,na,na
ASV2296,s__midas_s_5037,g__Propioniciclava,na,na,na,na,neg
ASV10815,s__Romboutsia_sedimentorum,g__Romboutsia,na,na,na,na,neg
ASV485,,g__Afipia,na,na,na,na,na
ASV22234,,g__Faecalibacterium,na,na,na,na,neg
ASV753,s__midas_s_1103,g__Subgroup_10,na,na,na,na,na
ASV570,s__midas_s_131,g__midas_g_131,na,na,na,na,na
ASV10443,,g__Paucibacter,na,na,na,na,na
ASV16833,s__midas_s_31339,g__Brachymonas,na,na,na,na,na
ASV9028,,g__Ca_Competibacter,neg,neg,neg,pos,neg
ASV10263,s__Comamonas_jiangduensis,g__Comamonas,na,na,na,na,na
ASV11210,s__midas_s_15342,g__Sebaldella,na,na,na,na,na
ASV1552,s__midas_s_1274,g__midas_g_366,na,na,na,na,na
ASV282,s__midas_s_202,g__midas_g_81,na,na,na,na,na
ASV9143,s__midas_s_51519,g__Comamonas,na,na,na,na,na
ASV10574,s__midas_s_30548,g__midas_g_1668,na,na,na,na,na
ASV611,s__midas_s_1157,g__midas_g_59,na,na,na,na,na
ASV1137,s__Ca_Phosphitivorax_butyraticus,g__Ca_Phosphitivorax,na,na,na,na,na
ASV3475,s__midas_s_6494,g__Flavobacterium,na,na,na,na,var
ASV2028,s__midas_s_361,g__Nitrospira,var,pos,neg,neg,neg
ASV3051,s__midas_s_1410,g__midas_g_100,na,na,na,na,na
ASV9672,,g__Corynebacterium,na,na,pos,na,neg
ASV605,s__midas_s_329,g__Ferruginibacter,na,na,na,na,neg
ASV8615,s__midas_s_60603,g__Micrococcus,na,na,na,na,na
ASV885,s__midas_s_1608,g__Conexibacter,na,na,na,na,na
ASV455,s__midas_s_677,g__alphaI_cluster,na,na,na,na,na
ASV1072,s__midas_s_1408,g__midas_g_1408,na,na,na,na,na
ASV326,s__midas_s_55,g__midas_g_55,na,na,na,na,na
ASV1400,s__midas_s_171,g__midas_g_171,na,na,na,na,na
ASV336,s__midas_s_2308,g__Kouleothrix,na,na,neg,neg,pos
newASV56,,,na,na,na,na,na
newASV142,s__midas_s_156,g__midas_g_156,na,na,na,na,na
ASV3675,s__midas_s_2775,g__midas_g_2775,na,na,na,na,na
ASV894,s__midas_s_406,g__Stella,na,na,na,na,na
ASV1063,s__midas_s_862,g__midas_g_6,na,na,na,na,na
ASV6152,,,na,na,na,na,na
ASV2469,s__midas_s_1191,g__Ruminococcus,na,na,na,na,na
ASV187,s__midas_s_301,g__Ca_Cloacimonas,na,na,na,na,na
ASV10708,s__midas_s_11626,g__midas_g_11626,na,na,na,na,na
ASV1614,,g__midas_g_1341,na,na,na,na,na
ASV13497,s__Stenotrophomonas_acidaminiphila,g__Stenotrophomonas,na,na,na,na,na
ASV568,s__midas_s_677,g__alphaI_cluster,na,na,na,na,na
ASV6200,,g__Micropruina,na,na,neg,pos,neg
